1/1/2017,140
1/2/2017,117
1/3/2017,105
1/4/2017,105
1/5/2017,103
1/6/2017,96
1/7/2017,86
1/8/2017,89
1/9/2017,89
1/10/2017,96
1/11/2017,104
1/12/2017,123
1/13/2017,128
1/14/2017,114
1/15/2017,93
1/16/2017,89
1/17/2017,93
1/18/2017,99
1/19/2017,111
1/20/2017,116
1/21/2017,97
1/22/2017,99
1/23/2017,101
1/24/2017,103
1/25/2017,111
1/26/2017,114
1/27/2017,118
1/28/2017,100
1/29/2017,94
1/30/2017,95
1/31/2017,98
2/1/2017,100
2/2/2017,106
2/3/2017,105
2/4/2017,88
2/5/2017,87
2/6/2017,87
2/7/2017,98
2/8/2017,104
2/9/2017,120
2/10/2017,123
2/11/2017,98
2/12/2017,98
2/13/2017,103
2/14/2017,120
2/15/2017,136
2/16/2017,163
2/17/2017,175
2/18/2017,152
2/19/2017,129
2/20/2017,129
2/21/2017,123
2/22/2017,128
2/23/2017,132
2/24/2017,128
2/25/2017,107
2/26/2017,100
2/27/2017,96
2/28/2017,97
3/1/2017,108
3/2/2017,124
3/3/2017,128
3/4/2017,109
3/5/2017,108
3/6/2017,108
3/7/2017,112
3/8/2017,113
3/9/2017,130
3/10/2017,139
3/11/2017,122
3/12/2017,127
3/13/2017,123
3/14/2017,124
3/15/2017,127
3/16/2017,135
3/17/2017,141
3/18/2017,121
3/19/2017,104
3/20/2017,104
3/21/2017,109
3/22/2017,114
3/23/2017,129
3/24/2017,145
3/25/2017,130
3/26/2017,129
3/27/2017,137
3/28/2017,137
3/29/2017,142
3/30/2017,147
3/31/2017,150
4/1/2017,130
4/2/2017,130
4/3/2017,129
4/4/2017,131
4/5/2017,139
4/6/2017,148
4/7/2017,138
4/8/2017,122
4/9/2017,115
4/10/2017,111
4/11/2017,119
4/12/2017,123
4/13/2017,129
4/14/2017,129
4/15/2017,105
4/16/2017,107
4/17/2017,110
4/18/2017,114
4/19/2017,120
4/20/2017,134
4/21/2017,135
4/22/2017,106
4/23/2017,111
4/24/2017,107
4/25/2017,111
4/26/2017,117
4/27/2017,137
4/28/2017,142
4/29/2017,121
4/30/2017,113
5/1/2017,99
5/2/2017,102
5/3/2017,114
5/4/2017,131
5/5/2017,135
5/6/2017,106
5/7/2017,101
5/8/2017,97
5/9/2017,105
5/10/2017,109
5/11/2017,120
5/12/2017,124
5/13/2017,99
5/14/2017,96
5/15/2017,97
5/16/2017,105
5/17/2017,114
5/18/2017,126
5/19/2017,129
5/20/2017,105
5/21/2017,98
5/22/2017,96
5/23/2017,99
5/24/2017,109
5/25/2017,131
5/26/2017,143
5/27/2017,123
5/28/2017,102
5/29/2017,89
5/30/2017,91
5/31/2017,94
6/1/2017,121
6/2/2017,125
6/3/2017,109
6/4/2017,104
6/5/2017,101
6/6/2017,111
6/7/2017,122
6/8/2017,129
6/9/2017,131
6/10/2017,118
6/11/2017,123
6/12/2017,121
6/13/2017,136
6/14/2017,141
6/15/2017,154
6/16/2017,155
6/17/2017,126
6/18/2017,121
6/19/2017,119
6/20/2017,120
6/21/2017,123
6/22/2017,139
6/23/2017,149
6/24/2017,131
6/25/2017,127
6/26/2017,129
6/27/2017,128
6/28/2017,128
6/29/2017,145
6/30/2017,150
7/1/2017,140
7/2/2017,137
7/3/2017,137
7/4/2017,145
7/5/2017,144
7/6/2017,150
7/7/2017,153
7/8/2017,136
7/9/2017,136
7/10/2017,144
7/11/2017,143
7/12/2017,146
7/13/2017,160
7/14/2017,163
7/15/2017,140
7/16/2017,146
7/17/2017,140
7/18/2017,150
7/19/2017,161
7/20/2017,172
7/21/2017,171
7/22/2017,157
7/23/2017,155
7/24/2017,145
7/25/2017,154
7/26/2017,158
7/27/2017,171
7/28/2017,166
7/29/2017,152
7/30/2017,145
7/31/2017,141
8/1/2017,150
8/2/2017,157
8/3/2017,167
8/4/2017,171
8/5/2017,147
8/6/2017,147
8/7/2017,149
8/8/2017,152
8/9/2017,153
8/10/2017,161
8/11/2017,162
8/12/2017,146
8/13/2017,142
8/14/2017,138
8/15/2017,141
8/16/2017,143
8/17/2017,153
8/18/2017,154
8/19/2017,140
8/20/2017,137
8/21/2017,134
8/22/2017,137
8/23/2017,136
8/24/2017,138
8/25/2017,135
8/26/2017,120
8/27/2017,110
8/28/2017,106
8/29/2017,98
8/30/2017,109
8/31/2017,131
9/1/2017,160
9/2/2017,146
9/3/2017,111
9/4/2017,103
9/5/2017,102
9/6/2017,110
9/7/2017,125
9/8/2017,125
9/9/2017,108
9/10/2017,110
9/11/2017,107
9/12/2017,110
9/13/2017,115
9/14/2017,126
9/15/2017,130
9/16/2017,108
9/17/2017,96
9/18/2017,92
9/19/2017,100
9/20/2017,112
9/21/2017,131
9/22/2017,139
9/23/2017,122
9/24/2017,108
9/25/2017,107
9/26/2017,105
9/27/2017,112
