7/1/2019 18:00,7/1/2019 20:00,Gym,Sport
7/2/2019 8:00,7/2/2019 20:00,Ruby's birthday,Birthdays
7/2/2019 18:00,7/2/2019 19:30,French,Study
7/3/2019 8:00,7/3/2019 20:00,Ella's birthday,Birthdays
7/4/2019 18:00,7/4/2019 19:30,French,Study
7/5/2019 18:00,7/5/2019 20:00,Gym,Sport
7/5/2019 20:30,7/5/2019 23:00,Ella's birthday party,Parties
7/6/2019 18:00,7/6/2019 19:30,Drawing lessons,Study
7/8/2019 18:00,7/8/2019 20:00,Gym,Sport
7/9/2019 18:00,7/9/2019 19:30,French,Study
7/10/2019 8:00,7/10/2019 20:00,Henry's birthday,Birthdays
7/11/2019 18:00,7/11/2019 19:30,French,Study
7/12/2019 11:00,7/12/2019 23:00,Wedding of Olivia and Toby,Parties
7/13/2019 14:00,7/13/2019 15:30,Tennis,Sport
7/13/2019 18:00,7/13/2019 19:30,Drawing lessons,Study
7/14/2019 8:00,7/14/2019 20:00,Max's birthday,Birthdays
7/14/2019 17:00,7/14/2019 22:00,Max's birthday party,Parties
7/15/2019 18:00,7/15/2019 20:00,Gym,Sport
7/16/2019 18:00,7/16/2019 19:30,French,Study
7/16/2019 20:00,7/16/2019 23:00,Movie premiere,Entertainment
7/18/2019 8:00,7/18/2019 20:00,Jake's birthday,Birthdays
7/18/2019 18:00,7/18/2019 19:30,French,Study
7/19/2019 18:00,7/19/2019 20:00,Gym,Sport
7/20/2019 18:00,7/20/2019 19:30,Drawing lessons,Study
7/21/2019 8:00,7/21/2019 20:00,Elizabeth's birthday,Birthdays
7/22/2019 18:00,7/22/2019 20:00,Gym,Sport
7/23/2019 18:00,7/23/2019 19:30,French,Study
7/24/2019 8:00,7/24/2019 20:00,Hannah's birthday,Birthdays
7/25/2019 18:00,7/25/2019 19:30,French,Study
7/26/2019 18:00,7/26/2019 20:00,Gym,Sport
7/27/2019 14:00,7/27/2019 15:30,Tennis,Sport
7/27/2019 18:00,7/27/2019 19:30,Drawing lessons,Study
7/27/2019 20:00,7/27/2019 23:00,Hannah's birthday party,Parties
7/29/2019 8:00,7/29/2019 20:00,Maya's birthday,Birthdays
7/29/2019 18:00,7/29/2019 20:00,Gym,Sport
7/30/2019 18:00,7/30/2019 19:30,French,Study
7/31/2019 18:00,7/31/2019 21:00,Short film festival,Entertainment
