id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,yr_built,zipcode,lat,long
3644100073,245000,2,1,670,1675,1,6,1960,98144,47.5918,-122.295
3644100072,245000,2,1,670,2356,1,6,1960,98144,47.5918,-122.295
9268200641,350000,2,1,800,5040,1,6,1960,98117,47.6953,-122.362
6146600595,209950,2,1,860,5080,1,7,1960,98032,47.39,-122.236
2987400025,253000,3,1,1030,6250,1,7,1960,98056,47.4988,-122.168
3333000775,249900,3,1,1100,5000,1,7,1960,98118,47.5433,-122.283
3438500339,276000,3,1,1140,5000,1,7,1960,98106,47.5535,-122.362
4039400430,330000,3,1.5,1170,4950,1,7,1960,98007,47.6057,-122.135
3448002267,385000,3,1.75,1340,3850,1,7,1960,98125,47.7134,-122.292
8024202350,435000,2,1,1650,5106,1,7,1960,98115,47.6992,-122.309
3812400854,352800,4,2,2080,6360,1,7,1960,98118,47.5392,-122.278
7130300785,418000,4,3,2360,6250,1,7,1960,98118,47.512,-122.249
3331001285,180000,3,1,1020,5500,1.5,7,1961,98118,47.5502,-122.286
3021059155,161500,3,1,1220,6000,1,7,1961,98002,47.2811,-122.214
4440400155,190000,3,1,1280,5100,1,7,1961,98178,47.5035,-122.259
2976800796,236000,3,1,1300,5898,1,7,1961,98178,47.5053,-122.255
1180005050,463000,4,2.75,1900,6000,1,7,1961,98178,47.495,-122.229
7301300050,375000,3,2.5,1930,6180,1,7,1961,98155,47.7481,-122.327
2124049229,469000,4,2.5,2240,5624,1,7,1961,98108,47.5574,-122.308
5207200160,490000,3,2.25,2380,6000,1,8,1961,98115,47.6955,-122.275
1253200170,250000,4,1.5,2500,6300,1,7,1961,98032,47.3781,-122.284
3361401210,209000,2,1,1070,6120,1,6,1962,98168,47.4989,-122.317
3226049045,350000,3,1.5,1090,5003,1,7,1962,98125,47.703,-122.321
1446800710,309000,3,1,1140,6400,1,7,1962,98168,47.4902,-122.331
4039300490,400000,3,1.5,1200,4800,1,7,1962,98007,47.6084,-122.136
4039300810,427000,3,1,1200,5252,1,7,1962,98007,47.6075,-122.134
796000085,175000,4,1,1210,6250,1,7,1962,98168,47.5008,-122.333
6450302175,342450,3,1.5,1280,5525,1,7,1962,98133,47.7339,-122.336
8685500020,387000,3,1,1530,6372,1,7,1962,98118,47.535,-122.289
9284801435,471000,4,1.75,1760,5750,1,7,1962,98126,47.5521,-122.373
7686205370,260000,4,1.75,1830,5375,1,7,1962,98198,47.4169,-122.316
9834200885,360000,4,2.5,2080,4080,1,7,1962,98144,47.572,-122.29
421000430,225000,3,1,960,5512,1,6,1963,98056,47.4944,-122.165
2648500030,112000,1,1,1080,3230,1,6,1963,98002,47.3075,-122.217
7960100260,349500,3,2,1270,3600,1,7,1963,98122,47.6099,-122.297
4315700060,378000,2,2,1300,3850,1,7,1963,98136,47.5395,-122.39
4443801285,466950,3,1,1360,3880,1,7,1963,98117,47.6837,-122.391
4040200490,461000,3,1.75,1420,5170,1,7,1963,98007,47.6151,-122.145
3332000715,433000,4,1.5,1550,5053,1,7,1963,98118,47.5499,-122.274
3352401037,224000,3,1.75,1760,6300,1,7,1963,98178,47.5003,-122.26
3878900225,345000,3,1.75,1990,5650,1,7,1963,98178,47.5086,-122.252
7338400945,420000,3,1.5,2080,5000,1,7,1963,98118,47.5322,-122.29
6450300840,499000,4,3.75,2560,5250,2,7,1963,98133,47.7326,-122.342
7891600590,336000,3,1.5,1240,5000,1,7,1964,98106,47.5659,-122.36
9842300036,415885,3,1,1310,4163,1,7,1964,98126,47.5301,-122.381
7211400760,277000,4,1,1450,6250,1,6,1964,98146,47.5131,-122.357
2608300035,329000,3,1,1600,5952,1,7,1964,98106,47.5292,-122.362
4006000509,333000,3,1,1620,5040,1,7,1964,98118,47.5263,-122.286
1426300842,455850,3,2.25,1820,6000,1,7,1964,98108,47.5684,-122.3
393000311,286300,3,2.75,2000,6405,1,8,1964,98178,47.5066,-122.259
3812400898,399950,5,2,2760,6420,1,7,1964,98118,47.5396,-122.276
3013300968,416500,3,1,1100,4184,1,7,1965,98136,47.5309,-122.382
3277800845,370000,3,1,1170,1105,1,7,1965,98126,47.5448,-122.375
6413100122,369950,3,1.75,1640,4860,1,8,1965,98125,47.7125,-122.32
6145601890,415000,5,1.75,1960,3748,1,7,1965,98133,47.7027,-122.349
6046401030,432500,3,1.75,1980,5100,1,7,1965,98103,47.6911,-122.347
4440400125,228000,4,1.75,2000,6120,1,7,1965,98178,47.5035,-122.258
1062100100,424000,4,2,2100,4857,2,8,1965,98155,47.7521,-122.279
7131300063,350000,4,1.75,2140,4959,1,7,1965,98118,47.5166,-122.266
3379200100,334000,4,2.5,2210,6080,1,8,1965,98178,47.4915,-122.228
7129304225,305000,4,2.25,2340,5250,2,7,1965,98118,47.5183,-122.266
9218400050,475000,4,3,2400,5400,2,7,1965,98178,47.5099,-122.26
7399100040,185000,3,1.5,1200,1848,2,8,1966,98055,47.4658,-122.191
7399100210,140000,3,1.5,1200,2002,2,8,1966,98055,47.4659,-122.189
3083001095,410000,3,1.75,1760,3520,1,7,1966,98144,47.5773,-122.303
3333002302,428000,4,2.5,1950,5602,1,7,1966,98118,47.5437,-122.291
7981900110,350000,4,2.75,2300,3175,1.5,6,1966,98144,47.5732,-122.305
793200100,360000,3,1.25,2350,6200,1,7,1966,98007,47.5979,-122.135
7129800063,330000,5,2.75,2390,6282,1,7,1966,98118,47.5149,-122.263
4112100101,415000,6,2,2500,5200,1,8,1966,98118,47.5517,-122.268
7243500025,411000,4,2.75,2500,5257,2,8,1966,98118,47.5293,-122.287
7345000340,208000,3,1,1020,6120,1,7,1967,98002,47.278,-122.205
7893207665,210000,3,1,1030,4583,1,7,1967,98198,47.4231,-122.329
421000555,200000,3,1,1050,5000,1,6,1967,98056,47.4923,-122.165
3876500290,175000,3,1,1070,6164,1,7,1967,98001,47.3377,-122.291
2891000450,229500,3,1,1230,6000,1,7,1967,98002,47.3256,-122.209
8857100060,277700,2,1.5,1240,1055,2,8,1967,98008,47.6104,-122.112
8857100180,350000,3,2.25,1410,1340,2,8,1967,98008,47.6108,-122.113
6632900405,329922,3,1.75,1420,6289,1,7,1967,98155,47.7398,-122.314
5100401429,350500,2,1,1450,6380,1,7,1967,98115,47.6924,-122.321
2171400126,269000,3,1,1690,4250,1,7,1967,98178,47.4945,-122.258
2891000610,148900,4,1.75,1700,6000,1,7,1967,98002,47.3252,-122.208
2624049169,400000,3,1.5,1890,6183,1,7,1967,98118,47.5396,-122.269
8731902340,275000,4,1.75,1960,6177,1,8,1967,98023,47.3131,-122.383
2560801222,180000,3,2.25,1990,6350,2,7,1967,98198,47.3822,-122.316
5491200210,350000,3,1,2010,6000,1,7,1967,98108,47.5515,-122.298
1311910300,260000,5,2.25,2320,6375,1,7,1967,98001,47.3351,-122.282
1278000210,110000,2,1,828,4524,1,6,1968,98001,47.2655,-122.244
8651401680,198000,3,1,860,5185,1,6,1968,98042,47.3634,-122.086
1773101050,290000,3,1,960,4560,1,7,1968,98106,47.5539,-122.365
4006000251,226000,3,1,970,5000,1,6,1968,98118,47.5282,-122.279
1443500395,360000,3,1.5,1060,6232,1,7,1968,98118,47.5329,-122.271
2891000680,195000,3,1.75,1070,6110,1,7,1968,98002,47.3249,-122.207
8651400750,209950,3,1.75,1100,5525,1,6,1968,98042,47.3625,-122.084
8651401960,179950,4,1.5,1130,5200,1,6,1968,98042,47.3616,-122.089
2891000750,222000,3,2,1200,6074,1,7,1968,98002,47.325,-122.205
4202400135,177500,3,1.5,1220,6000,1,7,1968,98055,47.4904,-122.222
2891100820,213500,3,1,1220,6000,1,7,1968,98002,47.3245,-122.209
8658303265,300000,3,1,1260,5000,1,6,1968,98014,47.6492,-121.915
3585220070,333760,3,1,1300,5880,1,7,1968,98052,47.6937,-122.113
3942900115,445000,3,1.75,1360,4998,1,8,1968,98108,47.547,-122.302
8651401720,215000,3,1.5,1610,5304,1,6,1968,98042,47.3632,-122.087
2112700920,285000,3,1.75,1630,4000,1,7,1968,98106,47.5351,-122.353
7548300326,290000,4,2,1660,4788,1,7,1968,98144,47.5878,-122.312
2291401425,485000,5,2,1910,5508,1,7,1968,98133,47.7074,-122.349
7950303530,400000,4,2,2060,3060,2,7,1968,98118,47.5631,-122.285
4310700665,450000,4,3,2200,4466,2,7,1968,98103,47.7005,-122.339
7525100060,497000,4,2.25,2250,3463,2,8,1968,98052,47.6324,-122.106
8651402910,176000,2,1,770,5200,1,6,1969,98042,47.3627,-122.087
8651431100,199990,3,1,840,5200,1,6,1969,98042,47.3685,-122.077
8651410090,209000,2,1,840,5265,1,6,1969,98042,47.3644,-122.082
8651400730,191000,3,1,840,5525,1,6,1969,98042,47.3607,-122.085
8651410740,189000,3,1,860,5200,1,6,1969,98042,47.3677,-122.078
8651430870,177000,3,1,870,5200,1,6,1969,98042,47.3695,-122.081
8651430220,183000,3,1,870,5200,1,6,1969,98042,47.3702,-122.078
8651430210,217000,3,1,870,5200,1,6,1969,98042,47.3701,-122.078
8651430560,180000,3,1,870,5330,1,6,1969,98042,47.369,-122.077
9320900420,89000,3,1,900,4750,1,6,1969,98023,47.3026,-122.363
9320900610,146000,3,1,900,4770,1,6,1969,98023,47.3038,-122.362
8651410330,215150,3,1,920,4770,1,6,1969,98042,47.3654,-122.082
8651410190,179950,3,1,920,4875,1,6,1969,98042,47.3648,-122.081
8651400680,179000,3,1,920,5200,1,6,1969,98042,47.3603,-122.085
8651410240,209000,3,1,920,5200,1,6,1969,98042,47.3647,-122.082
8651410670,189950,3,1,920,6460,1,6,1969,98042,47.3665,-122.082
4239400300,90000,3,1,980,2490,2,6,1969,98092,47.317,-122.182
8651411260,128000,2,1,980,5393,1,6,1969,98042,47.3674,-122.081
254000175,325000,2,1,1050,4800,1,7,1969,98146,47.5128,-122.388
8651400580,195000,3,1.5,1050,5525,1,6,1969,98042,47.3608,-122.083
8651402700,202950,2,1,1060,5144,1,6,1969,98042,47.3613,-122.088
8651410950,216500,2,1,1060,5200,1,6,1969,98042,47.3688,-122.08
4239400920,149000,3,1,1090,2800,1,6,1969,98092,47.3162,-122.183
4239400730,152000,3,1,1090,3264,1,6,1969,98092,47.3155,-122.182
4239400960,143000,3,1,1090,3315,1,6,1969,98092,47.3159,-122.183
4239400840,152500,3,1,1090,3523,1,6,1969,98092,47.3161,-122.182
8651400230,225000,3,2,1100,5200,1,6,1969,98042,47.3606,-122.083
8651410120,225500,3,1,1100,5200,1,6,1969,98042,47.3643,-122.081
8651402920,219900,4,1.5,1120,5427,1,6,1969,98042,47.3628,-122.087
4239400740,192950,3,1,1170,3330,2,6,1969,98092,47.3155,-122.182
8651402750,132825,3,1.5,1210,5200,1,6,1969,98042,47.3615,-122.087
8651430370,150000,3,1,1240,5200,1,6,1969,98042,47.3701,-122.079
8651411070,180000,3,1,1280,4875,1,6,1969,98042,47.3686,-122.081
8857310010,268500,2,1.5,1290,1749,1,8,1969,98008,47.6118,-122.116
7201800280,409950,3,1.75,1320,6030,1,7,1969,98052,47.6993,-122.13
8651402660,175409,4,1.5,1450,5530,1,6,1969,98042,47.3613,-122.087
1062100115,405000,3,2,1450,6081,1,7,1969,98155,47.7522,-122.278
1062100116,475000,3,2.5,1640,5097,2,7,1969,98155,47.7522,-122.278
3013300288,478500,3,1,2090,4755,1,8,1969,98136,47.5304,-122.387
3331500650,356000,3,1,920,3863,1,6,1970,98118,47.5524,-122.27
